,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-01,-0.014338104630099128,-1.1340484113924838,0.9707980018891674,-0.014338104630099128,-0.014338104630099128,-0.07048909980596316,-0.07048909980596316,-0.07048909980596316,0.0635552752425217,0.0635552752425217,0.0635552752425217,-0.13404437504848488,-0.13404437504848488,-0.13404437504848488,0.0,0.0,0.0,-0.08482720443606229
1,2020-01-02,-0.014387979607831844,-1.1876865345778462,1.0491720078359315,-0.014387979607831844,-0.014387979607831844,-0.08747090741191955,-0.08747090741191955,-0.08747090741191955,0.016111392994213852,0.016111392994213852,0.016111392994213852,-0.1035823004061334,-0.1035823004061334,-0.1035823004061334,0.0,0.0,0.0,-0.1018588870197514
2,2020-01-03,-0.01443785458556456,-1.2131069130918848,1.0710227975215312,-0.01443785458556456,-0.01443785458556456,-0.10498461730819597,-0.10498461730819597,-0.10498461730819597,-0.029077758308883393,-0.029077758308883393,-0.029077758308883393,-0.07590685899931257,-0.07590685899931257,-0.07590685899931257,0.0,0.0,0.0,-0.11942247189376053
3,2020-01-04,-0.014487729563297275,-1.304158270402548,0.888957721999545,-0.014487729563297275,-0.014487729563297275,-0.15688401981207886,-0.15688401981207886,-0.15688401981207886,-0.10563033901080768,-0.10563033901080768,-0.10563033901080768,-0.051253680801271184,-0.051253680801271184,-0.051253680801271184,0.0,0.0,0.0,-0.17137174937537614
4,2020-01-05,-0.01453760454102999,-1.2082007173086287,0.9082157438427787,-0.01453760454102999,-0.01453760454102999,-0.14217216849483405,-0.14217216849483405,-0.14217216849483405,-0.11236391594467571,-0.11236391594467571,-0.11236391594467571,-0.02980825255015836,-0.02980825255015836,-0.02980825255015836,0.0,0.0,0.0,-0.15670977303586403
5,2020-01-06,-0.014587479518762707,-1.0311550865782477,1.176200220436962,-0.014587479518762707,-0.014587479518762707,0.08525781983700018,0.08525781983700018,0.08525781983700018,0.09696487492101644,0.09696487492101644,0.09696487492101644,-0.011707055084016251,-0.011707055084016251,-0.011707055084016251,0.0,0.0,0.0,0.07067034031823746
6,2020-01-07,-0.014637354496495423,-1.0706396616286233,1.2169439509139612,-0.014637354496495423,-0.014637354496495423,0.073401082681229,0.073401082681229,0.073401082681229,0.07044047010658762,0.07044047010658762,0.07044047010658762,0.00296061257464137,0.00296061257464137,0.00296061257464137,0.0,0.0,0.0,0.05876372818473358
7,2020-01-08,-0.014687229474228137,-1.1011845746194877,1.2851001873493646,-0.014687229474228137,-0.014687229474228137,0.07770555082985005,0.07770555082985005,0.07770555082985005,0.06355527524262064,0.06355527524262064,0.06355527524262064,0.014150275587229396,0.014150275587229396,0.014150275587229396,0.0,0.0,0.0,0.06301832135562191
8,2020-01-09,-0.014737104451960853,-1.0492609203530754,1.137293801057471,-0.014737104451960853,-0.014737104451960853,0.03797094048529382,0.03797094048529382,0.03797094048529382,0.01611139299425762,0.01611139299425762,0.01611139299425762,0.021859547491036194,0.021859547491036194,0.021859547491036194,0.0,0.0,0.0,0.02323383603333297
9,2020-01-10,-0.01478697942969357,-1.1770238174718803,1.1573552971117957,-0.01478697942969357,-0.01478697942969357,-0.0029525908342991573,-0.0029525908342991573,-0.0029525908342991573,-0.029077758308381423,-0.029077758308381423,-0.029077758308381423,0.026125167474082268,0.026125167474082268,0.026125167474082268,0.0,0.0,0.0,-0.017739570263992727
