tipo_de_tag,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs
Problema,- w1 problema w2 acesso,14,14,234,1382,1.0,0.16931982633863965,0.8306801736613604,0.8306801736613604
Problema,- Não reconhecimento de compra no crédito,15,20,234,1382,0.75,0.16931982633863965,0.5806801736613604,0.5806801736613604
Problema,- w2 acesso,14,19,234,1382,0.7368421052631579,0.16931982633863965,0.5675222789245182,0.5675222789245182
Problema,- w1 solicitacao w2 cancelamento,16,23,234,1382,0.6956521739130435,0.16931982633863965,0.5263323475744038,0.5263323475744038
Problema,- w2 cancelamento,16,23,234,1382,0.6956521739130435,0.16931982633863965,0.5263323475744038,0.5263323475744038
Solicitação,- Segunda via cartão,29,42,228,1382,0.6904761904761905,0.1649782923299566,0.5254978981462339,0.5254978981462339
Solicitação,- Alteração de Cadastro,16,24,228,1382,0.6666666666666666,0.1649782923299566,0.50168837433671,0.50168837433671
Reclamação,- Problemas com a compra,21,33,189,1382,0.6363636363636364,0.13675832127351664,0.49960531509011974,0.49960531509011974
Dúvida,- w1 duvida w2 institucional,11,11,731,1382,1.0,0.5289435600578871,0.4710564399421129,0.4710564399421129
Dúvida,- bot will FGTS,12,12,731,1382,1.0,0.5289435600578871,0.4710564399421129,0.4710564399421129
Dúvida,- bot will FGTS,12,12,731,1382,1.0,0.5289435600578871,0.4710564399421129,0.4710564399421129
Dúvida,- w1 duvida w2 novas funcionalidades,16,16,731,1382,1.0,0.5289435600578871,0.4710564399421129,0.4710564399421129
Problema,- w2 fraude,22,35,234,1382,0.6285714285714286,0.16931982633863965,0.45925160223278894,0.45925160223278894
Solicitação,- w1 solicitacao w2 logistica,13,21,228,1382,0.6190476190476191,0.1649782923299566,0.4540693267176625,0.4540693267176625
Problema,- w1 problema,86,142,234,1382,0.6056338028169014,0.16931982633863965,0.43631397647826176,0.43631397647826176
Problema,- w1 problema w2 pagamento de fatura,12,20,234,1382,0.6,0.16931982633863965,0.43068017366136035,0.43068017366136035
Problema,- Sim,65,110,234,1382,0.5909090909090909,0.16931982633863965,0.4215892645704513,0.4215892645704513
Dúvida,- w1 duvida w2 fatura,38,40,731,1382,0.95,0.5289435600578871,0.42105643994211284,0.42105643994211284
Dúvida,- w1 duvida w2 cartao de credito virtual,14,15,731,1382,0.9333333333333333,0.5289435600578871,0.40438977327544623,0.40438977327544623
Problema,- w1 solicitacao w2 fraude,12,21,234,1382,0.5714285714285714,0.16931982633863965,0.4021087450899318,0.4021087450899318
Dúvida,- w1 problema,19,142,731,1382,0.13380281690140844,0.5289435600578871,-0.3951407431564787,0.3951407431564787
Dúvida,- Dúvidas campanha,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Product Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Product Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- w2 institucional,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- w1 duvida w2 pagamento de fatura,43,47,731,1382,0.9148936170212766,0.5289435600578871,0.38595005696338947,0.38595005696338947
Solicitação,- w2 cobranca,11,20,228,1382,0.55,0.1649782923299566,0.38502170767004346,0.38502170767004346
Dúvida,- w1 duvida,251,276,731,1382,0.9094202898550725,0.5289435600578871,0.3804767297971854,0.3804767297971854
Dúvida,- Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- w1 duvida w2 cartao de credito fisico,16,18,731,1382,0.8888888888888888,0.5289435600578871,0.3599453288310017,0.3599453288310017
Dúvida,- Sim,19,110,731,1382,0.17272727272727273,0.5289435600578871,-0.3562162873306144,0.3562162873306144
Dúvida,- bot,97,111,731,1382,0.8738738738738738,0.5289435600578871,0.3449303138159867,0.3449303138159867
Dúvida,- Aumento do limite de crédito,12,14,731,1382,0.8571428571428571,0.5289435600578871,0.32819929708497,0.32819929708497
Dúvida,- w2 pagamentos,15,18,731,1382,0.8333333333333334,0.5289435600578871,0.30438977327544625,0.30438977327544625
