,index,cluster,count
,,first,first
34,AUTOMATICO,Dúvida,3
12,ADQUIRIR,Dúvida,3
112,DISPOSITIVO,Problema,3
32,ATUALIZACAO,Problema,3
108,DIFERENTE,Problema,3
106,DEVIDO,Dúvida,3
272,RECEBE,Reclamação,2
84,CONTRATAR,Dúvida,2
273,RECEBEREI,Dúvida,2
292,REVERSAO,Dúvida,2
79,COMPRAS,Dúvida,2
85,CONTRATO,Dúvida,2
89,CRIAR,Dúvida,2
293,ROUBO,Solicitação,2
288,RESGATAR,Dúvida,2
97,DDC,Solicitação,2
91,CUSTODIA,Reclamação,2
286,RELATO,Reclamação,2
275,RECEBI,Problema,2
285,RELACAO,Dúvida,2
101,DEPOIS,Dúvida,2
299,SEGURANCA,Dúvida,2
95,DANIFICADA,Reclamação,2
282,REDUCAO,Solicitação,2
281,REDE,Dúvida,2
280,RECONHECO,Reclamação,2
279,RECONHECIDA,Problema,2
278,RECONHECE,Dúvida,2
92,CVC,Problema,2
182,MARKETING,Dúvida,2
300,SELFIE,Problema,2
40,BANKING,Dúvida,2
45,BLOQUEIO_ERRO_DE_SENHA,Problema,2
324,TOKEN,Dúvida,2
43,BLOQUEAR,Dúvida,2
326,TRANSACAO,Reclamação,2
42,BLACK,Dúvida,2
328,VALIDACAO,Dúvida,2
330,VAZAMENTO,Problema,2
39,BANCO,Dúvida,2
72,CODIGO,Dúvida,2
38,BANCARIA,Dúvida,2
37,BACEN,Problema,2
35,AUTORIZADA,Dúvida,2
336,VOLTA,Dúvida,2
338,WEB,Problema,2
30,ATRASADA,Reclamação,2
27,APROVACAO,Reclamação,2
322,TITULARIDADE,Solicitação,2
46,BNPL,Dúvida,2
320,TEMPORARIO,Dúvida,2
319,TEM,Problema,2
270,RASTREIO_SEM_ATUALIZACAO,Reclamação,2
304,SER,Dúvida,2
67,CHARGEBACK,Problema,2
306,SITE,Problema,2
307,SMS,Problema,2
63,CARTAO_ROUBADO,Problema,2
62,CARTAO_PERDIDO,Problema,2
60,CARD,Dúvida,2
311,SOLICITACOES,Solicitação,2
57,CANCELADO,Reclamação,2
55,CANAIS,Dúvida,2
314,SOMA,Dúvida,2
53,CAIXA,Dúvida,2
52,CAIU,Dúvida,2
49,BUG,Problema,2
103,DESBLOQUEAR,Solicitação,2
17,AMORTIZACAO,Dúvida,2
105,DESTRUIDO,Solicitação,2
266,QUER,Reclamação,2
169,INDEVIDA,Reclamação,2
9,ACOMPANHO,Dúvida,2
206,NOS,Dúvida,2
168,HISTORICO,Reclamação,2
167,GOOGLEPAY,Dúvida,2
166,GIFT,Dúvida,2
164,GAMIFICACAO,Dúvida,2
162,FUNCIONALIDADES,Problema,2
161,FUNCIONA,Problema,2
214,OS,Dúvida,2
154,FINALIZAR,Dúvida,2
153,FIM,Dúvida,2
218,OUTRO,Dúvida,2
219,OUTROS,Solicitação,2
220,OVERLIMIT,Dúvida,2
170,INFRACAO,Reclamação,2
202,NEGATIVO,Dúvida,2
172,INSTABILIDADE,Problema,2
180,MAQUININHA,Dúvida,2
26,APPLEPAY,Dúvida,2
185,MELHOR_DIA_DE_COMPRA,Dúvida,2
186,MENOR,Dúvida,2
188,MIGRACAO,Dúvida,2
189,MIGRADO,Problema,2
190,MINHA,Dúvida,2
179,LOTERICA,Dúvida,2
200,NEGATIVA,Dúvida,2
177,LOGISTICA,Dúvida,2
11,ADICIONAL,Solicitação,2
10,ACONTECE,Dúvida,2
197,NAO_RECONHECE_COMPRA,Problema,2
173,INTEGRAL,Dúvida,2
199,NASCIMENTO,Problema,2
151,FERIADO,Dúvida,2
8,ACOMPANHAMENTO,Reclamação,2
150,FEIRAO,Solicitação,2
121,E-MAIL,Reclamação,2
130,ENDERECO,Problema,2
126,EMERGENCIAL,Dúvida,2
251,PREVENCAO,Problema,2
123,ELETRONICO,Dúvida,2
122,EFETIVADO,Reclamação,2
254,PROBLEMAS,Dúvida,2
256,PRODUCAO,Dúvida,2
132,ENTRADA,Dúvida,2
257,PROGRAMA,Dúvida,2
16,AMARELO,Solicitação,2
115,DUAL,Dúvida,2
114,DOCUMENTO,Solicitação,2
183,MAS,Reclamação,2
111,DISPONIVEL,Problema,2
246,POSITIVA,Dúvida,2
243,PONTOS,Dúvida,2
224,PAGUEI,Dúvida,2
141,EXCLUIR,Dúvida,2
13,AGUARDANDO,Dúvida,2
226,PARCEIRO,Dúvida,2
145,FALSO,Reclamação,2
228,PARCELADA,Dúvida,2
143,FACIAL,Solicitação,2
231,PARCERIA,Dúvida,2
139,ESTABELECIMENTO,Reclamação,2
135,ENVIAR,Problema,2
234,PEDIDO,Dúvida,2
236,PERDA,Solicitação,2
237,PERDIDO,Solicitação,2
238,PERFIL,Reclamação,2
239,PESSOA,Dúvida,2
4,ABAIXO,Dúvida,2
171,INSATISFACAO,Problema,2
