n1,n2,n3,hierarquia_1,hierarquia_2,hierarquia_3,hierarquia_4,flag_fraude,tipo_de_tag
,,n3 - erro_fechamento_fatura,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Reclamação
,,n3 - qual_dia_minha_fatura_fecha,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Dúvida
,,n3 - erro_opcao_gerar_boleto_invalida,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Reclamação
w1 - problema,w2 - fatura,w3 - erro fechamento fatura,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Problema
w1 - duvida,w2 - fatura,w3 - qual dia minha fatura fecha,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Dúvida
bot,,b3 - duvidas fechamento fatura,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Dúvida
,,w3 - duvida - data de fechamento,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Dúvida
,,w3 - problema - data de fechamento,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Dúvida
intent,atraso no fechamento ou erro ao pagar fatura,wb-afpf,Cartão,Pagamento,Pagamento,Fechamento Fatura,Não,Reclamação
,,n3 - como_gerar_boleto_parcial,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,n3 - como_gerar_fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,n3 - erro_gerar_boleto_fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Reclamação
w1- duvida,w2 - pagamento de fatura,w3 - como gerar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
w1 - problema,w2 - pagamento de fatura,w3 - erro ao visualizar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Problema
w1 - duvida,w2 - fatura,w3 - como visualizar fatura no app,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
w1 - solicitacao,w2 - cobranca,w3 - reenvio de boleto cliente em atraso,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Solicitação
w1 - duvida,w2 - pagamento de fatura,w3 - gerar boleto parcial fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Solicitação
,,w3 - solicitacao - reenvio de boleto cliente em atraso,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Solicitação
,,w3 - duvida - visualizar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,w3 - problema - visualizar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,w3 - duvida - gerar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,w3 - problema - gerar fatura,Cartão,Pagamento,Pagamento,Gerar fatura,Não,Dúvida
,,n3 - extrato saldo conta,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
,,n3 - apagar_historico_app,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
,,n3 - termo_de_quitacao,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
,,w3 - resultado analise de extrato e saldo,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
w1 - duvida,w2 - extrato e saldo,w3 - como acessar extrato ou saldo,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Dúvida
w1 - problema,w2 - extrato e saldo,w3 - erro app acessar saldo e extrato,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Problema
w1 - solicitacao,w2 - backoffice,w3 - compensacao bancaria fora do prazo,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Reclamação
w1 - duvida,w2 - extrato e saldo,w3 - quais as tarifas e encargos para extrato,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Dúvida
w1 - duvida,w2 - financeira,w3 - como acessar extrato das aplicacoes will financeira,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
w1 - duvida,w2 - novas funcionalidades,w3 - saldo e extrato,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Dúvida
w1 - solicitacao,w2 - atendimento,w3 - declaracao quitacao,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
,,n3 - declaracao quitacao,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Solicitação
intent,gestao de extrato,wb-ge,Conta,Banking Account,Banking Account,Gestão de Extrato,Não,Dúvida
,,n3 - recarga_inoperante,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Reclamação
,,n3 - como_fazer_recarga_de_celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
,,n3 - recarga_duplicada,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Reclamação
w1 - duvida,w2 - recarga de celular,w3 - como fazer recarga no app,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - app nao me deixa fazer recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Problema
w1 - solicitacao,w2 - recarga de celular,w3 - quero cancelar uma recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - duvida,w2 - recarga de celular,w3 - prazo para compensacao da recarga,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - erro recarga duplicada,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Problema
w1 - sugestao,w2 - recarga de celular,w3 - recarga para outra operadora,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - sugestao,w2 - recarga de celular,w3 - quero agendar recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - fiz a recarga para o numero errado,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - historico de recarga incorreto,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Reclamação
w1 - problema,w2 - recarga de celular,w3 - fiz mesma recarga 2 vezes,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - duvida,w2 - recarga de celular,w3 - quais as tarifas e encargos para recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - valor creditado no celular diferente da recarga,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Reclamação
w1 - duvida,w2 - novas funcionalidades,w3 - recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - sugestao,w2 - recarga de celular,w3 - quero recarga de celular em debito automático,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - sugestao,w2 - recarga de celular,w3 - quero recarregar um valor maior do que aparece no app,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - problema,w2 - recarga de celular,w3 - problema recarga estornada,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Problema
w1 - problema,w2 - recarga de celular,w3 - problema de recarga nao compensada,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Problema
w1 - duvida,w2 - recarga de celular,w3 - cliente quer saber detalhes da recarga,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Solicitação
,,w3 - quero recarga de celular em debito automatico,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
,,w3 - resultado analise de recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Solicitação
bot,bot will - conta pura (3),b3 - duvida recarga celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
w1 - duvida,w2 - recarga de celular,w3 - quando tera recarga de celular,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
intent,recarga de celular,wb-rce,Conta,Banking Transfers,Banking Transfers,Gestão de Recarga,Não,Dúvida
,,n3 - transacao_sem_cartao,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
,,n3 - como_realizar_saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
,,n3 - problemas_no_saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Problema
,,n3 - nao_reconhece_saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Sim,Problema
,,n3 - limite_de_saques,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
,,n3 - nao_reconhece_saque - cartao_perdido,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Sim,Problema
,,n3 - nao_reconhece_saque - cartao_roubado,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Sim,Problema
w1 - duvida,w2 - saque,w3 - quais as tarifas e encargos para saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - duvida,w2 - saque,w3 - como fazer saque com limite de crédito,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - duvida,w2 - saque,w3 - quais locais para saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - duvida,w2 - saque,w3 - como sacar no Brasil,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - problema,w2 - saque,w3 - erro saque indisponivel,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Problema
w1 - solicitacao,w2 - saque,w3 - rever limite de saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - solicitacao,w2 - fraude,w3 - nao reconhece saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Sim,Problema
w1 - duvida,w2 - saque,w3 - quero sacar sem cartao,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - solicitacao,w2 - backoffice,w3 - problema no valor sacado,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Problema
w1 - duvida,w2 - novas funcionalidades,w3 - saque,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - duvida,w2 - saque,w3 - como sacar fora do Brasil,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - problema,w2 - saque,w3 - fiz saque mas o dinheiro nao saiu,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Reclamação
w1 - duvida,w2 - saque,w3 - como sacar no brasil,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
w1 - duvida,w2 - saque,w3 - como sacar fora do brasil,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
intent,saque,wb-saq,Conta,Banking Transfers,Banking Transfers,Gestão de Saque,Não,Dúvida
,,n3 - rendimentos,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
,,n3 - informe_de_rendimentos_irpf,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
w1 - duvida,w2 - investimento,w3 - quais as tarifas e encargos do cdb pre,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - rendimento conta,w3 - quais as tarifas e encargos o rendimento da conta,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - duvidas rendimento cdb pre,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - valor de rendimento cdb pre nao bate,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Reclamação
w1 - duvida,w2 - investimento,w3 - como resgatar rendimento cdb pre antes da data,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
w1 - duvida,w2 - investimento,w3 - quais as tarifas e encargos do separar dinheiro,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - duvidas rendimento separar dinheiro,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - valor de rendimento separar dinheiro nao bate,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - como resgatar rendimento separar dinheiro antes da data,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
w1 - duvida,w2 - novas funcionalidades,w3 - rendimento conta,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - rendimento conta,w3 - entendimento rendimento conta,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - solicitacao,w2 - rendimento conta,w3 - valor de rendimento nao bate,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Reclamação
w1 - duvida,w2 - rendimento conta,w3 - duvidas rendimento conta,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - duvidas investimento separar dinheiro,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - duvidas investimento cdb pre,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - como resgatar investimento cdb pre antes da data,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - como resgatar investimento separar dinheiro antes da data,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - valor de investimento separar dinheiro nao bate,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - investimento fora do brasil com outras moedas,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - financeira,w3 - como fazer resgate da aplicação will financeira,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - financeira,w3 - como acessar nota de aplicação will financeira,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
w1 - duvida,w2 - financeira,w3 - como acessar extrato das aplicações will financeira,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
,,w3 - estorno fatura compra cancelada apos 24h,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
bot,bot will - conta pura (3),b3 - duvida investimento cdi,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
bot,bot will - conta pura (3),b3 - duvidas investimento cdb pre,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
bot,bot will - conta pura (3),b3 - duvidas investimento separar dinheiro,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - valor de investimento cdb pre nao bate,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - investimento,w3 - quando tera investimento,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
,,n3 - redimentos,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
bot,bot will - mapa,b3 - duvida investimento,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
bot,bot will - mapa,,,,,,,
,b3 - como o dinheiro rende na conta,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida,
intent,informe de rendimentos,wb-ir,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Solicitação
intent,rendimento da conta e investimentos,wb-rci,Conta,Investments,Investments,Gestão do Bolso/Rendimento Conta,Não,Dúvida
w1 - duvida,w2 - cartao de credito virtual,w3 - duvida googlepay,Cartão,Ativação,Ativação,Google pay,Não,Dúvida
w1 - duvida,w2 - cartao de credito fisico,w3 - googlepay,Cartão,Ativação,Ativação,Google pay,Não,Dúvida
w1 - duvida,w2 - cartao de credito fisico,w3 - qual tarifa anuidade cartao,Cartão,Compra,Compra,Informações sobre cartão,Não,Dúvida
,,n3 - valor_total_devido,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
,,n3 - nao entendi encargos por atraso,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
,,n3 - tarifas_e_encargos,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Reclamação
,,n3 - fatura_por_e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
,,n3 - nao entendi encargos parcelamento,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
,,n3 - nao entendi parcela compra,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
,,n3 - recebimento_boleto_fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - solicitacao,w2 - fatura,w3 - solicitar fatura will por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - duvida,w2 - pagamento de fatura,w3 - juros e encargos de pagamento de fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - solicitacao,w2 - fatura,w3 - solicitar fatura pag por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - duvida,w2 - fatura,w3 - qual valor total geral devido,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - nao entendi parcela compra,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - duvida,w2 - pagamento de fatura,w3 - qual valor total devido da fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - duvidas faturas pag no will,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - duvida email fechamento fatura menor que 5 reais,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - solicitacao,w2 - fatura,w3 - fatura por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - duvida,w2 - fatura,w3 - valor minimo da fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - vencimento feriado,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - solicitacao,w2 - migracao pag will,w3 - cliente will quer historico da fatura pag,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - solicitacao,w2 - migracao pag will,w3 - cliente will quer contestar fatura pag,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Reclamação
w1 - solicitacao,w2 - fatura,w3 - solicitar fatura por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
w1 - duvida,w2 - pagamento de fatura,w3 - qual valor total devido,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
w1 - problema,w2 - pagamento de fatura,w3 - resultado analise de fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
,,n3 - nao_entendi_minha_fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Dúvida
,,w3 - duvida - fatura por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
,,w3 - problema - fatura por e-mail,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
bot,,q3 - fatura,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
intent,contestacao de fatura,wb-cfa,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Reclamação
intent,duvidas fatura e pagamento,wb-dfp,Cartão,Pagamento,Pagamento,Informações sobre fatura,Não,Solicitação
,,n3 - duplicada_no_pag,Cartão,Compra,Compra,Lançamentos duplicados,Não,Reclamação
,,n3 - duplicada_estabelecimento,Cartão,Compra,Compra,Lançamentos duplicados,Não,Problema
,,n3 - baixa_fatura_duplicada,Cartão,Compra,Compra,Lançamentos duplicados,Não,Reclamação
,,n3 - dados duplicados,Cartão,Compra,Compra,Lançamentos duplicados,Sim,Problema
w1 - problema,w2 - fatura,w3 - problema compra duplicada,Cartão,Compra,Compra,Lançamentos duplicados,Não,Problema
,,w3 - problema - compra duplicada,Cartão,Compra,Compra,Lançamentos duplicados,Não,Problema
,,w3 - duvida - compra duplicada,Cartão,Compra,Compra,Lançamentos duplicados,Não,Problema
intent,compra duplicada,wb-cdu,Cartão,Compra,Compra,Lançamentos duplicados,Não,Problema
w1 - duvida,w2 - institucional,w3 - como indicar amigos,Cartão,Aquisição,Aquisição,Member Get Member (MGM),Não,Dúvida
,,n3 - nao entendi soma da fatura,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - nao entendi credito provisorio,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - nao entendi credito parcelamento,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - credito_indevido,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
,,n3 - nao entendi encargos ted titulo saque,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - nao entendi estorno parcial,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - nao entendi minha fatura,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - nao entendi encargos por atraso,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - solicitacao,w2 - backoffice,w3 - estorno de encargos,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
w1 - duvida,w2 - fatura,w3 - nao entendi soma da fatura,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - problema,w2 - fatura,w3 - estorno de encargos lancados indevidamente,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
w1 - duvida,w2 - cartao de credito fisico,w3 - duvidas sobre o historico de compras,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
w1 - duvida,w2 - fatura,w3 - nao entendi credito provisorio,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - nao entendi encargos parcelamento,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - nao entendi estorno parcial,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - duvida,w2 - fatura,w3 - duvida sobre compra duplicada com horarios distintos,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
w1 - duvida,w2 - fatura,w3 - nao entendi credito parcelamento,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
w1 - solicitacao,w2 - backoffice,w3 - credito indevido,Cartão,Compra,Compra,Não entendimento fatura,Não,Problema
w1 - duvida,w2 - fatura,w3 - nao entendi encargos servicos no credito,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - erro_juros_indevido,Cartão,Compra,Compra,Não entendimento fatura,Não,Problema
bot,,b3 - estorno de encargos,Cartão,Compra,Compra,Não entendimento fatura,Não,Reclamação
,,w3 - duvida - tarifas e encargos atraso,Cartão,Pagamento,Pagamento,Não entendimento fatura,Não,Dúvida
,,w3 - duvida - valor total da fatura,Cartão,Pagamento,Pagamento,Não entendimento fatura,Não,Dúvida
,,w3 - duvida - credito provisorio,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,w3 - duvida - tarifas e encargos parcelamento,Cartão,Compra,Compra,Não entendimento fatura,Não,Dúvida
,,n3 - nao_reconhece_compra_online,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,n3 - nao_reconhece_compra_presencial,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,n3 - compra_reprocessada,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Não,Reclamação
,,n3 - compra_reconhecida,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,n3 - nao_reconhece_compra - cartao_perdido,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,n3 - nao_reconhece_compra - cartao_roubado,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,n3 - duvida_seguranca,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - solicitacao,w2 - fraude,w3 - nao reconhece compra online,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - solicitacao,w2 - fraude,w3 - nao reconhece compra presencial contactless,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - reclamacao,w2 - fraude,w3 - nao reconhece compra online cartao virtual,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - solicitacao,w2 - fraude,w3 - nao reconhece compra presencial,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - problema,w2 - fraude,w3 - nao reconhece notificacao de compra,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - problema,w2 - fraude,w3 - nao reconhece compra recorrente na fatura,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - reclamacao,w2 - fraude,w3 - nao reconhece compra,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,w3 - nao reconheco transacao que tem no extrato,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Reclamação
bot,bot will - fraude (1),b3 - não reconhece compra - volta depois,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Dúvida
bot,bot will - fraude (01),b3 - não reconhece compra,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Dúvida
bot,,q3 - fraude,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
,,w3 - compra recusada por prilex com fraude,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Dúvida
intent,nao reconhecimento de compra,wb-nrc,Cartão,Compra,Compra,Não reconhecimento de compra no crédito,Sim,Problema
w1 - solicitacao,w2 - extrato e saldo,w3 - nao reconheço transacao que tem no extrato,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de compra no débito,Sim,Reclamação
w1 - reclamacao,w2 - fraude,w3 - nao reconhece PIX,Conta,Pix,Pix,Não reconhecimento de PIX,Sim,Problema
w1 - solicitacao,w2 - fraude,w3 - bloqueio de operacao titulo ted pix,Conta,Pix,Pix,Não reconhecimento de PIX,Sim,Problema
,,w3 - bloqueio de operacao titulo ted pix prev fraude,Conta,Pix,Pix,Não reconhecimento de PIX,Sim,Problema
w1 - reclamacao,w2 - fraude,w3 - nao reconhece pix,Conta,Pix,Pix,Não reconhecimento de PIX,Sim,Problema
,,n3 - nao_reconhece_titulo_|_ted,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de recarga/título/ted,Sim,Problema
,,n3 - cancelamento_recarga,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de recarga/título/ted,Não,Solicitação
w1 - solicitacao,w2 - fraude,w3 - nao reconhece titulo ted,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de recarga/título/ted,Sim,Problema
w1 - reclamacao,w2 - fraude,w3 - nao reconhece título ted e recarga,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de recarga/título/ted,Sim,Problema
,,w3 - nao reconhece titulo ted e recarga,Conta,Banking Transfers,Banking Transfers,Não reconhecimento de recarga/título/ted,Sim,Problema
,,n3 - desbloqueio_pagamento_entrada,Crédito e Cobrança,Acordos,Acordos,Negociação,Não,Dúvida
,,n3 - recusa_a_pagar_o_debito,Crédito e Cobrança,Acordos,Acordos,Negociação,Não,Reclamação
