tipo_de_tag,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs
Problema,- Cartão Compra Não reconhecimento de compra no crédito Sim,15,19,234,1382,0.7894736842105263,0.16931982633863965,0.6201538578718867,0.6201538578718867
Problema,- Cartão Compra Não reconhecimento de compra no crédito,15,20,234,1382,0.75,0.16931982633863965,0.5806801736613604,0.5806801736613604
Problema,- Não reconhecimento de compra no crédito,15,20,234,1382,0.75,0.16931982633863965,0.5806801736613604,0.5806801736613604
Solicitação,- Segunda via cartão,29,42,228,1382,0.6904761904761905,0.1649782923299566,0.5254978981462339,0.5254978981462339
Solicitação,- Cartão Ativação Segunda via cartão Não,29,42,228,1382,0.6904761904761905,0.1649782923299566,0.5254978981462339,0.5254978981462339
Solicitação,- Cartão Ativação Segunda via cartão,29,42,228,1382,0.6904761904761905,0.1649782923299566,0.5254978981462339,0.5254978981462339
Solicitação,- Cartão Aprovação Alteração de Cadastro,16,24,228,1382,0.6666666666666666,0.1649782923299566,0.50168837433671,0.50168837433671
Solicitação,- Alteração de Cadastro,16,24,228,1382,0.6666666666666666,0.1649782923299566,0.50168837433671,0.50168837433671
Solicitação,- Cartão Aprovação Alteração de Cadastro Não,16,24,228,1382,0.6666666666666666,0.1649782923299566,0.50168837433671,0.50168837433671
Reclamação,- Cartão Compra Problemas com a compra,21,33,189,1382,0.6363636363636364,0.13675832127351664,0.49960531509011974,0.49960531509011974
Reclamação,- Cartão Compra Problemas com a compra Não,21,33,189,1382,0.6363636363636364,0.13675832127351664,0.49960531509011974,0.49960531509011974
Reclamação,- Problemas com a compra,21,33,189,1382,0.6363636363636364,0.13675832127351664,0.49960531509011974,0.49960531509011974
Problema,- Sim,65,110,234,1382,0.5909090909090909,0.16931982633863965,0.4215892645704513,0.4215892645704513
Dúvida,- Product Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing Product,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Product Marketing,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing Product Dúvidas campanha Não,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing Product,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Marketing Product Dúvidas campanha,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Dúvidas campanha,12,13,731,1382,0.9230769230769231,0.5289435600578871,0.394133363019036,0.394133363019036
Dúvida,- Atendimento Canais de atendimento Não,18,20,731,1382,0.9,0.5289435600578871,0.3710564399421129,0.3710564399421129
Dúvida,- Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- Cartão Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- Cartão Aprovação,14,85,731,1382,0.16470588235294117,0.5289435600578871,-0.364237677704946,0.364237677704946
Dúvida,- Sim,19,110,731,1382,0.17272727272727273,0.5289435600578871,-0.3562162873306144,0.3562162873306144
Dúvida,- Crédito e Cobrança Limite de crédito Aumento do limite,12,14,731,1382,0.8571428571428571,0.5289435600578871,0.32819929708497,0.32819929708497
Dúvida,- Crédito e Cobrança Limite de crédito Aumento do limite Não,12,14,731,1382,0.8571428571428571,0.5289435600578871,0.32819929708497,0.32819929708497
Dúvida,- Aumento do limite de crédito,12,14,731,1382,0.8571428571428571,0.5289435600578871,0.32819929708497,0.32819929708497
