ferramenta,taxa_abertura,flag_cobranca,flag_emoji,flag_exclamacao,flag_dinheiro,flag_fatura,flag_limite,flag_cashback,flag_nome,n_palavras,sentiment,sentimento,adjective,adposition,adverb,auxiliary,coordinating conjunction,determiner,interjection,noun,numeral,other,pronoun,proper noun,punctuation,space,subordinating conjunction,symbol,verb,cluster_hero,cluster_dbscan,cluster_dbscan_tsne,ano,dia,mes,dia_semana,hora
Infobip,0.10609717719883043,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,1,6,Thursday,19
Infobip,0.22448441648225723,0,0,1,1,1,0,0,0,8,0.0,neutro,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0,0,2,2023,1,3,Wednesday,18
Infobip,0.2276962010792135,0,1,0,0,0,0,0,0,8,0.0,neutro,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,6,0,6,2023,13,4,Thursday,13
Infobip,0.10324939807537183,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,15,6,Thursday,19
Infobip,0.19053380616054855,0,0,1,0,0,0,0,0,4,0.0,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,4,2023,6,5,Saturday,18
Infobip,0.22712309669724845,0,0,1,0,0,0,0,0,8,0.0,neutro,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,4.0,8.0,12,0,3,2023,17,3,Friday,13
Infobip,0.23293438392224286,0,1,0,0,0,0,0,0,7,0.0,neutro,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,6,0,6,2023,27,4,Thursday,16
Salesforce,0.23012247429773322,0,0,0,0,0,0,0,0,7,0.0,neutro,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,12,0,3,2023,4,4,Tuesday,19
Infobip,0.09609950663382098,1,0,1,0,0,0,0,0,7,0.0,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6,0,6,2023,14,4,Friday,16
Infobip,0.2158865743963084,0,0,1,0,0,0,0,0,6,0.0,neutro,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,5,2023,14,6,Wednesday,12
Infobip,0.19852958038462068,0,0,1,0,0,0,0,0,6,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,5,2023,7,6,Wednesday,12
Infobip,0.28651619116077576,0,1,0,0,0,1,0,0,3,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,14,0,7,2023,5,5,Friday,15
Salesforce,0.5796108692776163,0,0,0,0,0,0,0,0,6,-296,neutro,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,10,2023,29,3,Wednesday,18
Salesforce,0.372589461089368,0,1,1,0,1,0,0,0,9,0.0,bom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12,0,11,2023,22,4,Saturday,12
Infobip,0.22116728247801648,0,0,1,0,0,0,0,0,8,0.2023,neutro,0.0,0.0,3.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0,0,12,2023,7,3,Tuesday,12
Infobip,0.21631439544898268,0,0,0,0,1,0,0,0,4,0.0,neutro,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,2023,17,4,Monday,18
Infobip,0.24127406432494736,0,0,0,0,1,0,0,0,9,0.0,bom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,16.0,12,0,3,2023,23,3,Thursday,10
Salesforce,0.2858413787892452,0,1,0,0,0,0,0,0,3,0.0,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0,6,2023,18,4,Tuesday,18
Salesforce,0.2630533266563406,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,20,7,Thursday,19
Infobip,0.3901278191422236,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,4,7,Tuesday,18
Infobip,0.1033083662395646,1,0,0,0,0,0,0,0,5,0.0,neutro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8,0,6,2023,9,4,Sunday,1
Infobip,0.09406267785345793,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,29,6,Thursday,19
Salesforce,0.32486088471699176,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,5,7,Wednesday,12
Infobip,0.23644728173832028,0,0,0,0,0,1,0,0,6,0.2023,ruim,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8,0,6,2023,25,4,Tuesday,18
Infobip,0.4193463881066213,0,0,1,0,0,1,0,0,4,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.0,12,0,3,2023,3,5,Wednesday,19
Infobip,0.09203715586518776,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,22,6,Thursday,19
Infobip,0.08617193807602834,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,21,7,Friday,7
Infobip,0.09130194896263898,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,6,7,Thursday,19
Infobip,0.2356846753757965,0,0,1,1,1,0,0,0,8,0.0,neutro,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0,0,2,2023,1,3,Wednesday,18
Infobip,0.21208007341324275,0,0,0,0,0,0,0,0,7,0.2023,neutro,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0,0,5,2023,21,3,Tuesday,12
Infobip,0.22364676479133358,0,0,1,0,1,0,0,0,7,0.0,ruim,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,7,1,9,2023,25,3,Saturday,12
Infobip,0.09169988292537677,1,0,0,0,0,0,0,0,7,0.0,neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,2,2023,3,4,Monday,15
Salesforce,0.1451488585110668,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,1,6,Thursday,19
Salesforce,0.29815751235106075,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,7,6,Wednesday,16
Salesforce,0.2777594335205762,0,1,0,0,0,0,0,0,8,0.0,bom,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6,0,6,2023,19,4,Wednesday,15
Infobip,0.21849067559875796,0,0,1,0,0,0,0,0,5,0.0,neutro,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6,0,6,2023,10,3,Friday,14
Salesforce,0.2726856195317784,0,1,1,0,0,0,0,0,9,0.0,neutro,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,5,0,7,2023,20,7,Thursday,17
Salesforce,0.3496389432513608,0,0,0,0,0,0,0,0,4,0.0,neutro,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,2023,6,2,Monday,18
Infobip,0.3784331660527552,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,15,3,Wednesday,18
Infobip,0.43965287557568605,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,16,3,Thursday,16
Infobip,0.19166152539557882,0,0,0,0,0,0,0,0,3,0.0,neutro,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,5,2023,8,4,Saturday,9
Salesforce,0.16974837273142385,0,0,1,0,0,0,0,0,5,0.0,neutro,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,8.0,0,0,13,2023,16,5,Tuesday,19
Infobip,0.10406075875177559,1,0,1,0,0,0,0,0,4,0.0,neutro,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,0,0,5,2023,1,3,Wednesday,19
Infobip,0.07994278816515223,1,0,0,0,0,0,0,0,4,0.0,neutro,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,5,2023,4,5,Thursday,19
Infobip,0.08810621404906219,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,13,7,Thursday,19
Infobip,0.08691670686059387,1,0,0,0,0,0,0,0,4,0.0,bom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2,2023,20,4,Thursday,16
Infobip,0.3676647646966445,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,6,6,Tuesday,18
