,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,faixa_propensao
2757,- C tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,157,880,10279,207177,0.1784090909090909,0.049614580769100816,0.1287945101399901,0.1287945101399901,1. Grupo com propensão inf a 3%
497,- A tempo_aprovacao flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente,219,250,154814,207177,0.876,0.747254762835643,0.12874523716435704,0.12874523716435704,0. Grupo com propensão inf a 1%
4931,- C tempo_aprovacao flag_autonomo A dias_atraso D tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,84,96,154814,207177,0.875,0.747254762835643,0.12774523716435704,0.12774523716435704,0. Grupo com propensão inf a 1%
13875,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente C share_of_wallet,133,152,154814,207177,0.875,0.747254762835643,0.12774523716435704,0.12774523716435704,0. Grupo com propensão inf a 1%
379,- A tempo_aprovacao C flag_autonomo dias_atraso tempo_relacionamento B avg_vl_total_spending nr_declared_income,196,224,154814,207177,0.875,0.747254762835643,0.12774523716435704,0.12774523716435704,0. Grupo com propensão inf a 1%
6577,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente,105,120,154814,207177,0.875,0.747254762835643,0.12774523716435704,0.12774523716435704,0. Grupo com propensão inf a 1%
611,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending,2832,3237,154814,207177,0.8748841519925857,0.747254762835643,0.12762938915694277,0.12762938915694277,0. Grupo com propensão inf a 1%
1634,- B tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,68,402,8638,207177,0.1691542288557214,0.041693817363896574,0.12746041149182483,0.12746041149182483,2. Grupo com propensão inf a 8%
3980,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,322,1821,10279,207177,0.17682591982427237,0.049614580769100816,0.12721133905517157,0.12721133905517157,1. Grupo com propensão inf a 3%
99,- A tempo_aprovacao flag_autonomo D dias_atraso tempo_relacionamento avg_vl_total_spending,118,135,154814,207177,0.8740740740740741,0.747254762835643,0.12681931123843115,0.12681931123843115,0. Grupo com propensão inf a 1%
135,- A tempo_aprovacao C flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending,846,968,154814,207177,0.8739669421487604,0.747254762835643,0.1267121793131174,0.1267121793131174,0. Grupo com propensão inf a 1%
411,- C tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento D avg_vl_total_spending,1507,1725,154814,207177,0.8736231884057971,0.747254762835643,0.12636842557015415,0.12636842557015415,0. Grupo com propensão inf a 1%
4604,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,62,71,154814,207177,0.8732394366197183,0.747254762835643,0.1259846737840753,0.1259846737840753,0. Grupo com propensão inf a 1%
