,flag_mgm,flag_mgm
,mean,count
segmento_v1,,
ABBBBABB,0.0,2264
ABBBBBAA,0.0,220
ABBBBBAB,0.0,168
ABBBBBBA,0.0,1240
ABBBBBBB,0.0,818
ABBBBCAA,0.0,7
ABBBBCAB,0.0,6
ABBBBCBA,0.0,194
ABBBBCBB,0.0,127
ABBBCAAA,0.0,332
ABBBCAAB,0.0,120
ABBBCABA,0.0,1634
ABBBCABB,0.0,659
ABBBCBAA,0.0,90
ABBBCBAB,0.0,64
ABBBCBBA,0.0,430
ABBBCBBB,0.0,266
ABBBCCAA,0.0,5
ABBBCCAB,0.0,2
ABBBCCBA,0.0,102
ABBBCCBB,0.0,58
BAAAAAAA,0.012940178192617734,4714
BAAAAAAB,0.0041597990738560554,12741
BAAAAABA,0.01862445124384728,7517
BAAAAABB,0.013321934886371732,14037
BAAAABAA,0.003243243243243243,925
BAAAABAB,0.0015060240963855422,2656
BAAAABBA,0.012364760432766615,647
BAAAABBB,0.02336448598130841,1070
BAAAACAA,0.0,401
BAAAACAB,0.004838709677419355,1240
BAAAACBA,0.007142857142857143,280
BAAAACBB,0.02,400
BAAABAAA,0.024390243902439025,697
BAAABAAB,0.007575757575757576,1584
BAAABABA,0.03177570093457944,1070
BAAABABB,0.02891156462585034,1764
BAAABBAA,0.008064516129032258,620
BAAABBAB,0.01194921583271098,1339
BAAABBBA,0.037383177570093455,642
BAAABBBB,0.030927835051546393,970
BAAABCAA,0.002898550724637681,345
BAAABCAB,0.00331858407079646,904
BAAABCBA,0.010380622837370242,289
BAAABCBB,0.01507537688442211,398
BAAACAAA,0.0,51
BAAACAAB,0.0,110
BAAACABA,0.0,47
BAAACABB,0.046153846153846156,65
BAAACBAA,0.01020408163265306,98
BAAACBAB,0.0,189
BAAACBBA,0.05555555555555555,54
BAAACBBB,0.022988505747126436,87
BAAACCAA,0.0,78
BAAACCAB,0.0,153
BAAACCBA,0.0,30
BAAACCBB,0.0,39
BAABAAAA,0.051470588235294115,136
BAABAAAB,0.07782101167315175,257
BAABAABA,0.055762081784386616,269
BAABAABB,0.046464646464646465,495
BAABABAA,0.0,25
BAABABAB,0.07317073170731707,41
BAABABBA,0.0625,32
BAABABBB,0.0821917808219178,73
BAABACAA,0.0,6
BAABACAB,0.07692307692307693,13
BAABACBA,0.0,8
BAABACBB,0.1111111111111111,18
BAABBAAA,0.0379746835443038,79
BAABBAAB,0.0728476821192053,151
BAABBABA,0.0603448275862069,116
BAABBABB,0.05928853754940711,253
BAABBBAA,0.028985507246376812,69
BAABBBAB,0.06140350877192982,114
BAABBBBA,0.04225352112676056,71
BAABBBBB,0.07317073170731707,123
BAABBCAA,0.03333333333333333,30
BAABBCAB,0.017543859649122806,57
BAABBCBA,0.09523809523809523,21
BAABBCBB,0.0784313725490196,51
BAABCAAA,0.0,10
BAABCAAB,0.0,20
BAABCABA,0.0,15
BAABCABB,0.06451612903225806,31
BAABCBAA,0.0,18
BAABCBAB,0.046511627906976744,43
BAABCBBA,0.18181818181818182,11
BAABCBBB,0.05263157894736842,19
BAABCCAA,0.0,7
BAABCCAB,0.0,15
BAABCCBA,0.0,2
BAABCCBB,0.0,10
BABAAAAA,0.06350710900473934,1055
BABAAAAB,0.061262959472196045,2122
BABAAABA,0.05876443997990959,1991
BABAAABB,0.06064244971480036,3331
BABAABAA,0.08730691739422432,1489
BABAABAB,0.08962083492914592,2611
BABAABBA,0.08157991878922112,2709
BABAABBB,0.1012817290776577,3979
BABAACAA,0.019851116625310174,403
BABAACAB,0.026522593320235755,1018
BABAACBA,0.04716981132075472,530
BABAACBB,0.06684256816182937,1137
BABABAAA,0.05532435740514076,4085
BABABAAB,0.041735831159592125,8434
BABABABA,0.06361802286482851,7435
BABABABB,0.06383519837232961,11796
BABABBAA,0.07801908977728593,7229
BABABBAB,0.07470383275261325,14350
BABABBBA,0.0876944837340877,11312
BABABBBB,0.0931587386424372,18710
BABABCAA,0.02145214521452145,4242
BABABCAB,0.018103033220991816,10385
BABABCBA,0.046147052329432545,4529
BABABCBB,0.0556984821198868,7774
BABACAAA,0.02832512315270936,812
BABACAAB,0.017892644135188866,2012
BABACABA,0.03536585365853658,820
BABACABB,0.043339706819630335,1569
BABACBAA,0.014965259219668627,1871
BABACBAB,0.019651191353475806,4071
BABACBBA,0.04560260586319218,1535
BABACBBB,0.04765450483991065,2686
BABACCAA,0.004262120404901438,1877
BABACCAB,0.0012658227848101266,4740
BABACCBA,0.019791666666666666,960
BABACCBB,0.028429282160625444,1407
BABBAAAA,0.1165644171779141,326
BABBAAAB,0.0891089108910891,707
BABBAABA,0.1456140350877193,570
BABBAABB,0.1296111665004985,1003
BABBABAA,0.15664845173041894,549
BABBABAB,0.12322274881516587,1055
BABBABBA,0.14427312775330398,908
BABBABBB,0.14865749836280287,1527
BABBACAA,0.037037037037037035,108
BABBACAB,0.06329113924050633,237
BABBACBA,0.10526315789473684,133
BABBACBB,0.12101910828025478,314
BABBBAAA,0.09314285714285714,1750
BABBBAAB,0.0784524449220849,3722
BABBBABA,0.11500198965380024,2513
BABBBABB,0.10343392299687826,4805
BABBBBAA,0.11620335587277736,3993
BABBBBAB,0.12023317949963566,8234
BABBBBBA,0.13311209439528024,5424
BABBBBBB,0.14405812143227814,9635
BABBBCAA,0.02334889926617745,1499
BABBBCAB,0.025859619210002842,3519
BABBBCBA,0.0738255033557047,1490
BABBBCBB,0.07636626854867898,2763
BABBCAAA,0.04684684684684685,555
BABBCAAB,0.0378726833199033,1241
BABBCABA,0.07113821138211382,492
BABBCABB,0.08308308308308308,999
BABBCBAA,0.04813559322033898,1475
BABBCBAB,0.05182459368291935,3261
BABBCBBA,0.09186602870813397,1045
BABBCBBB,0.08852459016393442,2135
BABBCCAA,0.006230529595015576,963
BABBCCAB,0.004625346901017576,2162
BABBCCBA,0.0196078431372549,408
BABBCCBB,0.0213089802130898,657
BBAAAAAA,0.006493506493506494,154
BBAAAAAB,0.0,269
BBAAAABA,0.043478260869565216,345
BBAAAABB,0.019230769230769232,520
BBAAABAA,0.0,108
BBAAABAB,0.020833333333333332,192
BBAAABBA,0.02857142857142857,140
BBAAABBB,0.04524886877828054,221
BBAAACAA,0.0,68
BBAAACAB,0.00847457627118644,118
