cluster,target,tempo_aprovacao,limite_aprovado,nr_declared_income,flag_autonomo,max_limite,max_qtd_if,avg_utilizado_interno,sum_utilizado_interno,avg_utilizado_mercado,sum_utilizado_mercado,nr_chaves_importantes,nr_antecipacao_fatura,nr_bolso_ativo,nr_trans_mov_conta,nr_purchases_virtual,avg_vl_total_spending,nr_purchases_online,nr_acessos,nr_acessos_lojawill,flag_limite_insuficiente,share_of_wallet,ds_risk_type_1. Sem Informacao,ds_risk_type_2. Alto Risco,ds_risk_type_3. Medio Risco,ds_risk_type_4. Baixo Risco,gender_FEMALE,gender_MALE,ds_region_Centro-Oeste,ds_region_Nordeste,ds_region_Norte,ds_region_Sudeste,ds_region_Sul,flag_limite_aprov,flag_antecip,flag_lojawill
91,"4,59770114942529%","18,1182266009852","1316,4367816092","2708,80201970443","0,280788177339901","2461,54844006568","4,57635467980296","2377,45282430213","30313,1257963875","9280,7376093506","129953,696223317","0,978653530377668","0,673234811165846","0,0311986863711002","36,8916256157635","4,61412151067324","1017,36078926059","38,2528735632184","116,816091954023","0,563218390804598","0,738916256157636","0,308529943082475","0,105090311986864","0,183908045977012","0,307060755336617","0,403940886699507","0,579638752052545","0,420361247947455","0,0525451559934319","0,564860426929392","0,0706075533661741","0,239737274220033","0,0722495894909688","0,676518883415435","0,09688013136289","0,180623973727422"
90,"4,54545454545455%",10,"1240,45454545455","4483,09363636364","0,454545454545455","2044,09090909091","3,95454545454545","1449,61","14956,9590909091","7626,25319264069","71564,3636363636","1,18181818181818","1,09090909090909",0,"93,6818181818182","1,86363636363636","1654,87314921246","41,1363636363636","98,5","0,590909090909091","0,772727272727273","0,298774092795551","0,0909090909090909","0,181818181818182","0,227272727272727","0,5","0,727272727272727","0,272727272727273","0,227272727272727","0,5",0,"0,272727272727273",0,"0,727272727272727","0,0909090909090909","0,227272727272727"
86,"4,54545454545455%","12,3964896489649","1305,95184518452","2377,29746174617","0,261926192619262","2489,42349234924","4,40684068406841","2143,76291629163","26993,5499369937","9898,93185073659","144556,353285329","0,992349234923492","0,835283528352835","0,0261026102610261","36,8685868586859","4,25202520252025","991,377299585866","36,2434743474347","115,99099909991","0,716921692169217","0,714671467146715","0,329830973275412","0,106660666066607","0,177767776777678","0,334833483348335","0,380738073807381","0,549054905490549","0,450945094509451","0,0652565256525653","0,552655265526553","0,0684068406840684","0,256975697569757","0,0567056705670567","0,707020702070207","0,104860486048605","0,201170117011701"
24,"4,34782608695652%","12,3664596273292",1290,"3350,8447826087","0,248447204968944","2419,62732919255","4,50931677018634","2180,09751552795","26924,5349689441","10977,9554049298","190177,869565217","0,950310559006211","0,46583850931677",0,"35,9254658385093","4,44099378881988","1024,34234942125","31,472049689441","102,745341614907","1,04968944099379","0,770186335403727","0,298032347039004","0,136645962732919","0,198757763975155","0,242236024844721","0,422360248447205","0,596273291925466","0,403726708074534","0,0745341614906832","0,552795031055901","0,0683229813664596","0,236024844720497","0,0683229813664596","0,677018633540373","0,0807453416149068","0,242236024844721"
46,"4,12147505422994%","11,0433839479393","1272,81995661605","2578,78386117137","0,295010845986985","2208,27331887202","4,19088937093276","2020,76774403471","26551,5759436009","10058,8165810705","151952,566160521","0,917570498915401","0,698481561822126","0,03470715835141","41,6095444685466","3,56616052060738","1044,53514942446","27,5162689804772","113,939262472885","0,577006507592191","0,676789587852495","0,313178909693468","0,117136659436009","0,158351409978308","0,292841648590022","0,431670281995662","0,553145336225597","0,446854663774403","0,0607375271149675","0,544468546637744","0,0672451193058568","0,268980477223427","0,0585683297180043","0,6941431670282","0,0867678958785249","0,195227765726681"
73,"3,64372469635628%","16,6882591093117","1251,51821862348","2302,8644534413","0,275303643724696","2492,23076923077","4,67206477732794","1998,235951417","28548,5300809717","12351,7486376983","217151,55465587","0,987854251012146","0,882591093117409","0,00809716599190283","49,4534412955466","5,03643724696356","958,365160564658","32,9878542510121","123,101214574899","0,578947368421053","0,716599190283401","0,32455272173957","0,161943319838057","0,194331983805668","0,303643724696356","0,340080971659919","0,558704453441296","0,441295546558704","0,0526315789473684","0,587044534412956","0,0323886639676113","0,283400809716599","0,0445344129554656","0,680161943319838","0,109311740890688","0,165991902834008"
82,"2,64900662251656%","9,88741721854305","1225,16556291391","2186,58609271523","0,251655629139073","1844,23178807947","4,09271523178808","1854,05271523179","20010,0178807947","7025,75611465429","104176,57615894","1,02649006622517","0,370860927152318","0,0397350993377483","53,0066225165563","3,16556291390729","881,397655521906","29,887417218543","126,013245033113","0,56953642384106","0,708609271523179","0,329173709312529","0,0927152317880795","0,158940397350993","0,350993377483444","0,397350993377483","0,576158940397351","0,423841059602649","0,0927152317880795","0,529801324503311","0,0596026490066225","0,278145695364238","0,0397350993377483","0,662251655629139","0,0794701986754967","0,211920529801325"
16,"2,5%","14,075","1389,5","2750,5035","0,3","3151,25","4,625","2849,30575","42014,412","6440,78358688187","78323,05","1,725","5,825",0,"141,1","2,925","985,862510079668","40,875","200,275","0,675","0,725","0,305313718815699","0,125","0,15","0,4","0,325","0,575","0,425","0,05","0,55","0,075","0,275","0,05","0,6","0,125","0,125"
33,"1,61290322580645%","7,66129032258065","1088,70967741935","2155,22919354839","0,17741935483871","1892,53225806452","4,82258064516129","1851,8635483871","21926,9566129032","8048,34475517762","99773,3387096774","0,774193548387097","0,225806451612903","0,0483870967741936","19,4032258064516","7,06451612903226","915,497592549654","26,6612903225806","128,629032258065","0,290322580645161","0,741935483870968","0,297782602667867","0,0967741935483871","0,241935483870968","0,32258064516129","0,338709677419355","0,596774193548387","0,403225806451613","0,0967741935483871","0,596774193548387","0,0806451612903226","0,17741935483871","0,0483870967741936","0,693548387096774","0,0483870967741936","0,145161290322581"
97,0%,21,1430,4750,0,1830,"4,5","963,18","10098,83","2358,16666666667",19705,1,0,0,14,0,"435,937916666667","4,5","70,5",0,1,"0,261652832059754",0,"0,5",0,"0,5",0,1,0,"0,5",0,"0,5",0,"0,5",0,0
96,0%,"9,83333333333333","1228,33333333333","4050,00166666667","0,5","2136,66666666667","3,16666666666667","1256,88666666667","11764,0116666667","5342,89791666667","28852,5","0,833333333333333",0,0,"11,8333333333333","0,5","1114,74722279733","35,5","74,8333333333333","0,5","0,5","0,261368292633135",0,"0,333333333333333","0,333333333333333","0,333333333333333","0,666666666666667","0,333333333333333",0,"0,5",0,"0,5",0,"0,666666666666667",0,"0,333333333333333"
95,0%,119,950,"0,01",1,800,0,"1291,64","12477,34","2874,67708333333",27860,1,0,0,14,0,"419,615",0,82,0,0,"0,316916313902613",1,0,0,0,0,1,0,1,0,0,0,1,0,0
89,0%,4,950,"0,01",1,1500,3,"6048,2","18144,6","2911,33333333333",8734,1,0,0,14,0,"512,914",56,82,0,1,"0,675057480672356",1,0,0,0,1,0,0,1,0,0,0,1,0,0
88,0%,"38,5","816,875","2061,253125","0,3125","1743,75","5,625","6236,85875","172115,389375","197661,295281498","6240697,9375","0,6875",0,0,"36,625","31,375","1595,28350201795","67,875","194,0625","0,8125","0,6875","0,315828441277969","0,0625","0,25","0,5","0,1875","0,5625","0,4375",0,"0,6875",0,"0,1875","0,125","0,5625",0,"0,125"
87,0%,"1,75","1537,5","2700,0025",0,2425,5,"1712,04","22756,7525","6132,27864583333","84396,25","1,5",0,0,24,"5,5","698,001352813853",8,"110,5",1,"0,5","0,3981410969878",0,0,"0,25","0,75","0,75","0,25","0,25","0,25",0,"0,25","0,25","0,75",0,"0,25"
84,0%,7,950,"0,01",0,7300,4,"9873,58","315954,54",6159,197088,0,0,0,4,0,"1853,2592631579",66,464,2,1,"0,615844721180431",1,0,0,0,1,0,0,0,0,1,0,1,0,1
83,0%,"4,5",475,1750,"0,5",650,"4,5","766,515","10689,87","1707,97142857143",21950,"1,5",0,1,"220,5",1,"401,826333333333",3,325,0,1,"0,201880638488041",0,1,0,0,1,0,0,1,0,0,0,0,0,0
81,0%,2,950,"0,01",0,7300,6,"724,86","23195,38","7818,625",250196,1,0,0,14,0,"781,271290322581",0,86,0,1,"0,0848431285580401",1,0,0,0,0,1,0,0,0,1,0,1,0,0
80,0%,"3,5",1150,"550,005",1,1500,5,"1054,84","6751,525","287,071428571429","744,5",1,0,0,14,0,"688,34025","0,5",72,0,"0,5","0,648935414211955","0,5",0,0,"0,5",1,0,0,1,0,0,0,1,0,0
