cluster_regra,cluster_arvore_vl
AABA,0.14338171219087112
AABB,0.14338171219087112
AABD,0.5265885510762401
ABBA,0.14338171219087112
ABBB,0.14338171219087112
ABBC,0.14338171219087112
ABBD,0.14338171219087112
ACBA,0.14338171219087112
ACBB,0.3591000662130369
ACBC,0.39279298699432347
ACBD,0.6404360800351907
BAAA,0.5933043070241486
BAAB,0.6904740299807629
BAAC,0.6904740299807629
BAAD,0.7851607518976275
BABA,0.368145476666377
BABB,0.5265885510762401
BABC,0.5265885510762401
BABD,0.6904740299807629
BBAA,0.5933043070241486
BBAB,0.6904740299807629
BBAC,0.6904740299807629
BBAD,0.7851607518976275
BBBA,0.35549243458786256
BBBB,0.5265885510762401
BBBC,0.5265885510762401
BBBD,0.5933043070241486
BCAA,0.39279298699432347
BCAB,0.3927929869943234
BCAC,0.5265885510762401
BCAD,0.3927929869943234
BCBA,0.14338171219087112
BCBB,0.14338171219087112
BCBC,0.35549243458786256
BCBD,0.35549243458786256
CAAA,0.7851607518976275
CAAB,0.9030386995474277
CAAC,0.8296804324642372
CAAD,0.9030386995474278
CABA,0.6904740299807629
CABB,0.7851607518976275
CABC,0.6904740299807629
CABD,0.8296804324642371
CBAA,0.6904740299807629
CBAB,0.8296804324642371
CBAC,0.7851607518976275
CBAD,0.9030386995474279
CBBA,0.5933043070241486
CBBB,0.6904740299807629
CBBC,0.6904740299807629
CBBD,0.8296804324642372
CCAA,0.6404360800351907
CCAB,0.5933043070241486
CCAC,0.7851607518976275
CCAD,0.7851607518976275
CCBA,0.39279298699432347
CCBB,0.39279298699432347
CCBC,0.5933043070241486
CCBD,0.6404360800351907
