segmento,churn_depois,LT
AAAA,0.4154057771664374,28.88741721854305
AAAB,0.34782608695652173,34.5
AAAC,0.4528301886792453,26.5
AABA,0.41938405797101447,28.613390928725707
AABB,0.3220338983050847,37.26315789473684
AABC,0.3259668508287293,36.813559322033896
AACA,0.3879310344827586,30.93333333333333
AACB,0.3414043583535109,35.148936170212764
AACC,0.2967651195499297,40.43601895734597
ABAA,0.3747412008281574,32.02209944751381
ABAB,0.3123644251626898,38.41666666666667
ABAC,0.34444444444444444,34.83870967741935
ABBA,0.3875,30.96774193548387
ABBB,0.2979253112033195,40.278551532033426
ABBC,0.3064516129032258,39.1578947368421
ABCA,0.4585365853658537,26.170212765957444
ABCB,0.3654661016949153,32.83478260869565
ABCC,0.2921108742004264,41.080291970802925
ACAA,0.47832411987198137,25.087591240875913
ACAB,0.3956343792633015,30.33103448275862
ACAC,0.323943661971831,37.04347826086956
ACBA,0.48083941605839414,24.956356736242885
ACBB,0.36167664670658684,33.17880794701986
ACBC,0.4350282485875706,27.584415584415588
ACCA,0.5298013245033113,22.65
ACCB,0.4802494802494803,24.987012987012985
ACCC,0.47643979057591623,25.186813186813186
BAAA,0.3157894736842105,38.0
BAAB,0.22950819672131148,52.285714285714285
BAAC,0.25663716814159293,46.758620689655174
BABA,0.297423887587822,40.346456692913385
BABB,0.22781065088757396,52.675324675324674
BABC,0.19081272084805653,62.88888888888889
BACA,0.28125,42.666666666666664
BACB,0.21951219512195122,54.66666666666667
BACC,0.21481806225339764,55.861224489795916
BBAA,0.3058968058968059,39.22891566265061
BBAB,0.24299065420560748,49.38461538461539
BBAC,0.26877470355731226,44.647058823529406
BBBA,0.288,41.66666666666667
BBBB,0.22687224669603523,52.893203883495154
BBBC,0.2420785804816223,49.57068062827225
BBCA,0.37349397590361444,32.12903225806452
BBCB,0.27262313860252,44.01680672268908
BBCC,0.24342105263157895,49.2972972972973
BCAA,0.41373801916932906,29.003861003861
BCAB,0.2862944162436548,41.91489361702128
BCAC,0.3093681917211329,38.7887323943662
BCBA,0.4281524926686217,28.027397260273972
BCBB,0.2971014492753623,40.390243902439025
BCBC,0.28007889546351084,42.84507042253521
BCCA,0.49382716049382713,24.3
BCCB,0.33260393873085337,36.078947368421055
BCCC,0.38073394495412843,31.518072289156628
CAAA,0.2947019867549669,40.71910112359551
CAAB,0.21359223300970873,56.18181818181818
CAAC,0.2057142857142857,58.33333333333333
CABA,0.316,37.974683544303794
CABB,0.2164804469273743,55.43225806451613
CABC,0.15345528455284552,78.19867549668875
CACA,0.32142857142857145,37.33333333333333
CACB,0.21608040201005024,55.53488372093023
CACC,0.18410143867349427,65.18145695364238
CBAA,0.28685897435897434,41.832402234636874
CBAB,0.2242562929061785,53.51020408163266
CBAC,0.2465753424657534,48.66666666666667
CBBA,0.2639751552795031,45.45882352941176
CBBB,0.21160409556313994,56.70967741935484
CBBC,0.20367534456355282,58.91729323308271
CBCA,0.39285714285714285,30.545454545454543
CBCB,0.25754884547069273,46.593103448275855
CBCC,0.20768136557610242,57.78082191780822
CCAA,0.36990595611285265,32.440677966101696
CCAB,0.31030444964871196,38.67169811320755
CCAC,0.2485207100591716,48.28571428571429
CCBA,0.3957845433255269,30.319526627218934
CCBB,0.28304821150855364,42.395604395604394
CCBC,0.25170068027210885,47.67567567567567
CCCA,0.43243243243243246,27.75
CCCB,0.3025830258302583,39.65853658536585
CCCC,0.27848101265822783,43.09090909090909
