dt_mes,hierarquia_1,hierarquia_4,clientes_cx,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,montante_ltv,media_ltv,mediana_ltv,clientes_rentaveis_total,perc_recorte,perc_churn_recorte,perc_recuperacao_churn
2023-05-01,Cartão,Rastreio de cartão,5863,111936.33052564821,28395.35880619158,38.88707037643208,690.0,75.0,67.0,4566259293.124215,2585.851390013956,425.0116144459971,1765592,0.11768719085792256,0.10869565217391304,0.8933333333333333
2023-06-01,Cartão,Informações sobre fatura,4803,314819.5011299037,1140602.0889400525,37.0154416306362,1081.0,190.0,155.0,5059187452.395965,2733.903826997132,378.9038875523798,1850274,0.22506766604205705,0.1757631822386679,0.8157894736842105
2023-03-01,Cartão,Token E-mail,1731,37688.01498288545,252478.03300838635,37.0154416306362,283.0,42.0,35.0,3698781175.387795,2331.5652828917628,399.1309173235595,1586123,0.1634893125361063,0.14840989399293286,0.8333333333333334
2023-02-01,Conta,Gerar fatura,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-02-01,Conta,Dúvidas em lançamentos,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-02-01,Fraude,Alteração de senha,1723,92655.0142298693,39600.23387535437,35.487378640776704,619.0,82.0,71.0,3063901783.5677423,2052.972807669508,358.68735945878547,1492153,0.359257109692397,0.13247172859450726,0.8658536585365854
2023-05-01,Cartão,Faturas futuras,915,28959.986457601775,30593.432268090473,32.24738244897449,216.0,26.0,18.0,3786603319.8479986,2144.3358402367558,352.44393428522534,1765592,0.2360655737704918,0.12037037037037036,0.6923076923076923
2023-02-01,Fraude,Recebimento de PIX,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-03-01,Fraude,Token 3DS,95,5300.989445194363,3535.28573450515,30.77740863787375,26.0,6.0,5.0,3075443509.0344906,1938.6378850616497,331.8673181062209,1586123,0.2736842105263158,0.23076923076923078,0.8333333333333334
2023-05-01,Tecnologia,Problemas com a compra,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-04-01,Conta,Boleto de Depósito,269,3954.0546759819417,1384.5172535254248,37.0154416306362,68.0,6.0,5.0,4496892785.813079,2713.8433970700894,401.8368428759027,1656724,0.2527881040892193,0.08823529411764706,0.8333333333333334
2023-01-01,Marketplace,Pagamento de Boleto,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-05-01,Tecnologia,Uso do cartão de débito,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-03-01,Fraude,Assunto não identificado,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586123,0.0,0.0,0.0
2023-05-01,Marketplace,Problema no recebimento do cartão,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-04-01,Crédito Pessoal,Parcelamento de compra,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-06-01,Fraude,Reenvio de cartão,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-06-01,Conta,Devolução,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-02-01,Fraude,Rastreio de cartão,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-04-01,Crédito Pessoal,Não entendimento fatura,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-05-01,Conta,Contactless,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-02-01,Marketing,Não entendimento fatura,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-02-01,Tecnologia,Fatura duplicada,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-03-01,Crédito Pessoal,Fatura duplicada,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586123,0.0,0.0,0.0
2023-06-01,Crédito Pessoal,Informações sobre cartão,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-05-01,Marketplace,Dúvidas PIX,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-04-01,Fraude,Fatura duplicada,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-06-01,Fraude,Validação novo dispositivo,20853,1069910.6810300953,2272004.4604444727,39.86631016042781,6570.0,700.0,574.0,5448837762.076854,2944.464610294992,408.08644275779267,1850274,0.3150625809236081,0.106544901065449,0.82
