dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-06-01,Crédito Pessoal,Não reconhecimento de recarga/título/ted,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Faturas futuras,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Gestão de Extrato,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Token 3DS,1,1,1,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Não reconhecimento de PIX,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Bloqueio de conta,1,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Dúvidas campanha,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Dúvidas sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Uso do cartão de débito,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Cancelamento de cartão de débito,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Wallet,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Não entendimento fatura,5315,1217,162,144,R$ 170.311,R$ 547.274,"35,9"
2023-03-01,Conta,Pagamento de Boleto,1854,387,40,33,R$ 36.629,R$ 114.908,"35,9"
2023-02-01,Conta,Uso do cartão de débito,338,86,6,5,R$ 9.190,R$ 10.738,"31,2"
2023-01-01,Cartão,Não entendimento fatura,4253,967,162,145,R$ 174.943,R$ 277.149,"35,9"
2023-06-01,Conta,Uso do cartão de débito,433,107,10,10,R$ 6.537,R$ 6.747,"35,1"
2023-02-01,Cartão,Resultado da Proposta,609,40,11,11,R$ 21.517,R$ 60.382,"39,9"
2023-02-01,Conta,Não reconhecimento de compra no crédito,124,9,2,2,R$ 5.743,-R$ 1.862,"57,4"
2023-05-01,Cartão,Parcelamento de compra,328,88,7,7,R$ 9.969,R$ 7.847,"39,8"
2023-05-01,Marketing,Novos Produtos,15,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Token E-mail,364,97,81,3,R$ 760,R$ 353,"24,4"
2023-04-01,Cartão,Wallet,356,858,809,4,R$ 6.706,R$ 2.914,"34,8"
2023-06-01,Fraude,Não reconhecimento de compra no crédito,32,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Fraude,Não entendimento fatura,15,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Não reconhecimento de PIX,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Desbloqueio de cartão,23,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Não reconhecimento de compra no crédito,29,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Informações sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Problemas com a compra,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Pagamento de Boleto,56,1,1,1,R$ 276,-R$ 158,"39,8"
2023-01-01,Fraude,Dúvidas PIX,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketing,Vencimento fatura,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Cartão,Cartão black,18,3,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Wallet,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Validação novo dispositivo,16,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketing,Vencimento fatura,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Token 3DS,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Cartão,Status da Proposta,3,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Não reconhecimento de PIX,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Cartão,Dúvidas sobre campanha gamificação,1369,531,329,16,R$ 3.760,R$ 762,"31,2"
2023-01-01,Cartão,Cartão virtual,732,146,17,13,R$ 18.483,R$ 11.303,"36,8"
2023-05-01,Cartão,Informações sobre fatura,5497,1159,193,165,R$ 302.203,R$ 1.287.247,"39,8"
2023-01-01,Tecnologia,Resultado da Proposta,32,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Lançamentos duplicados,244,76,3,3,R$ 5.722,R$ 3.566,"36,8"
2023-06-01,Cartão,Bloqueio de senha,1510,292,52,41,R$ 55.714,R$ 144.945,"36,8"
2023-02-01,Conta,Token E-mail,48,1,1,1,R$ 1.334,R$ 12.044,"67,7"
2023-02-01,Tecnologia,Vencimento fatura,61,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Informações sobre fatura,15,3,2,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Resultado da Proposta,11,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Reclamação pagamento cashback,57,8,3,3,R$ 5.468,-R$ 94,"31,2"
2023-01-01,Fraude,Dúvidas sobre pagamento de fatura,40,2,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Resultado análise de fraude,13,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Cartão adicional,172,43,7,7,R$ 13.801,R$ 8.023,"36,8"
2023-06-01,Conta,Consulta Saldo,24,5,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Informações sobre fatura,16,2,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Token E-mail,8,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Dúvidas sobre cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Pagamento de Boleto,4,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Primeiro Desbloqueio de cartão,25,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Resultado da Proposta,8,1,1,1,R$ 2.000,R$ 0,"47,1"
2023-04-01,Marketplace,Token E-mail,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Dúvidas PIX,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Dúvidas em lançamentos,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Cartão,Problema de Cadastro da proposta,9,2,1,1,R$ 500,R$ 1.000,"33,4"
2023-05-01,Crédito Pessoal,Resultado da Proposta,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Status da Proposta,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Fatura duplicada,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Gestão de Saque,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Gestão de Saque,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Gestão de Recarga,1673,1153,764,27,R$ 18.347,R$ 16.603,"35,9"
2023-04-01,Cartão,Primeiro Desbloqueio de cartão,1235,3764,3656,14,R$ 24.213,R$ 51.806,"39,8"
2023-03-01,Conta,Recebimento de PIX,7165,2256,184,167,R$ 176.070,R$ 253.454,"36,8"
2023-06-01,Cartão,Token SMS,346,68,7,7,R$ 7.758,R$ 2.791,"36,8"
2023-05-01,Tecnologia,Vencimento fatura,97,4,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Cartão,Problema no recebimento do cartão,2041,4476,4361,11,R$ 10.494,R$ 4.412,"38,5"
2023-05-01,Fraude,Assunto não identificado,25,2,1,1,R$ 1.230,R$ 0,"36,8"
2023-01-01,Conta,Gestão de Saque,549,78,8,8,R$ 12.430,R$ 74.166,"34,0"
2023-02-01,Fraude,Falsidade ideológica,74,14,2,1,R$ 2.271,R$ 2.808,"36,8"
2023-06-01,Cartão,Wallet,830,108,7,6,R$ 2.710,R$ 81,"31,2"
2023-05-01,Cartão,Assunto não identificado,221,36,1,1,R$ 1.000,R$ 217,"39,9"
2023-05-01,Marketplace,Reenvio de cartão,28,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Recebimento de PIX,824,151,11,11,R$ 10.043,R$ 8.214,"35,9"
2023-05-01,Tecnologia,Informações sobre fatura,41,2,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Vencimento fatura,97,4,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Novos Produtos,21,5,3,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Resultado análise de fraude,19,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Faturas futuras,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Informações sobre fatura,13,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Não reconhecimento de compra no crédito,17,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Validação novo dispositivo,37,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Atendimento de terceiros,23,3,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Riscos 2 nivel,Problemas com a compra,20,3,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Member Get Member (MGM),9,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Contactless,2,4,4,0,R$ 0,R$ 0,"0,0"
2023-03-01,Tecnologia,Token E-mail,26,2,2,2,R$ 1.200,R$ 985,"38,3"
2023-02-01,Fraude,Cancelamento de compra no crédito,11,2,1,1,R$ 1.584,R$ 216,"47,1"
2023-01-01,Marketplace,Segunda via cartão,42,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Recebimento de PIX,43,1,1,1,R$ 1.430,-R$ 428,"47,1"
2023-01-01,Tecnologia,Lançamentos duplicados,5,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Aviso viagem,42,14,1,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Gestão de Extrato,9,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Gestão de Saque,8,1,1,1,R$ 388,-R$ 153,"36,8"
2023-05-01,Fraude,Compensação fatura,18,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Token E-mail,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Gestão de Saque,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Dúvidas PIX,3,1,1,1,R$ 200,R$ 472,"36,8"
2023-02-01,Marketplace,Dúvidas regras do cashback,1,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Wallet,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Problema no recebimento do cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Informações sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Resultado análise de fraude,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Dúvidas em lançamentos,2,1,1,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Chat duplicado,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Problemas no site ou app,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Problemas com a compra,11111,2741,170,155,R$ 223.359,R$ 305.472,"36,8"
2023-06-01,Cartão,Alteração de Cadastro,7004,1659,261,203,R$ 239.593,R$ 604.892,"36,8"
2023-01-01,Atendimento,Chat sem retorno,2584,754,102,88,R$ 134.002,R$ 563.520,"39,9"
2023-03-01,Conta,Envio de PIX,6411,1653,157,143,R$ 140.273,R$ 233.235,"36,8"
2023-02-01,Cartão,Cartão adicional,150,49,5,3,R$ 3.812,R$ 4.240,"38,5"
2023-05-01,Conta,Não entendimento fatura,118,5,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Alteração de senha,1410,310,44,38,R$ 42.504,R$ 51.660,"38,3"
2023-04-01,Fraude,Cartão virtual,14,5,5,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Uso do cartão de débito,18,4,1,1,R$ 500,R$ 110,"36,8"
2023-06-01,Fraude,Rastreio de cartão,23,1,1,1,R$ 4.270,R$ 539,"59,9"
2023-02-01,Marketplace,Dúvidas Marketplace,98,23,4,4,R$ 8.428,-R$ 202,"37,9"
2023-05-01,Marketing,Vencimento fatura,15,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Devolução,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Problema no recebimento do cartão,10,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Uso do cartão de débito,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Fraude,Fechamento Fatura,15,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Gerar fatura,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Problema no recebimento do cartão,11,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Riscos 2 nivel,Token SMS,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Riscos 2 nivel,Token E-mail,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Antecipação de Fatura,4,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketing,Token E-mail,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketing,Gestão de Saque,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Gerar fatura,4,2,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Informações sobre fatura,11,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Novos Produtos,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Dúvidas sobre campanha gamificação,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketing,Não reconhecimento de compra no crédito,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Recebimento de TED,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Riscos 2 nivel,Uso do cartão de débito,2,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Cancelamento de compra no crédito,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Atendimento de terceiros,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Gestão de Recarga,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Antecipação de Fatura,2814,908,82,69,R$ 83.854,R$ 73.080,"36,8"
2023-01-01,Cartão,Antecipação de Fatura,3787,1112,115,107,R$ 110.700,R$ 187.774,"33,4"
2023-04-01,Conta,Chaves PIX,527,760,668,9,R$ 8.715,R$ 14.471,"39,8"
2023-06-01,Riscos 2 nivel,Prevenção à Fraude,1032,283,40,34,R$ 44.593,R$ 167.213,"36,8"
2023-05-01,Cartão,Dúvidas sobre campanha gamificação,1391,216,17,15,R$ 4.650,R$ 4.529,"33,4"
2023-01-01,Cartão,Desbloqueio de cartão,807,168,31,25,R$ 25.131,R$ 14.663,"36,8"
2023-05-01,Marketplace,Reclamação pagamento cashback,68,9,2,2,R$ 4.559,R$ 141,"43,5"
2023-03-01,Conta,Aquisição de Crédito,418,1,1,1,R$ 412,-R$ 62,"31,2"
2023-01-01,Crédito Pessoal,Recebimento de PIX,7,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Não reconhecimento de compra no crédito,96,23,16,1,R$ 100,R$ 0,"31,2"
2023-06-01,Tecnologia,Não entendimento fatura,67,3,1,1,R$ 550,R$ 17.801,"24,4"
2023-03-01,Crédito Pessoal,Envio de PIX,24,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Gestão do Bolso/Rendimento Conta,62,14,13,1,R$ 683,R$ 0,"31,2"
2023-05-01,Crédito Pessoal,Gerar fatura,7,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Gerar fatura,67,7,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Dúvidas sobre campanha gamificação,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Problemas com a compra,22,2,1,1,R$ 500,-R$ 65,"24,4"
2023-05-01,Marketplace,Lançamentos duplicados,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Lançamentos duplicados,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Dúvidas em lançamentos,12,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Gerar fatura,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Vencimento fatura,19,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Token SMS,8,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Gestão de Extrato,14,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Cancelamento de conta,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Dúvidas sobre cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Lançamentos duplicados,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Pagamento de Boleto,9,9,8,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Dúvidas sobre campanha gamificação,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Gestão de Extrato,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Token 3DS,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Chat sem retorno,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Resultado da Proposta,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Cancelamento de cartão de débito,1,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Não reconhecimento de compra no crédito,64,3,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Cartão,Cancelamento de compra no crédito,11101,3364,251,238,R$ 336.054,R$ 208.173,"36,8"
2023-06-01,Cartão,Reenvio de cartão,5555,468,62,57,R$ 61.176,R$ 90.115,"35,9"
2023-04-01,Cartão,Problemas com a compra,7926,7640,5945,145,R$ 224.991,R$ 432.501,"36,8"
2023-06-01,Conta,Envio de PIX,5844,1109,98,87,R$ 75.058,R$ 104.571,"36,8"
2023-02-01,Cartão,Não entendimento fatura,3660,850,129,111,R$ 166.024,R$ 297.972,"35,9"
2023-02-01,Cartão,Parcelamento de compra,231,83,6,4,R$ 6.534,R$ 4.480,"49,4"
2023-05-01,Conta,Dúvidas Conta,920,121,18,12,R$ 21.708,R$ 42.664,"31,2"
2023-06-01,Conta,Gestão de Saque,764,128,12,11,R$ 25.902,-R$ 125,"36,8"
2023-03-01,Cartão,Lançamentos duplicados,276,101,4,4,R$ 5.834,-R$ 1.842,"42,0"
2023-04-01,Conta,Gestão do Bolso/Rendimento Conta,836,657,459,20,R$ 38.854,R$ 58.625,"39,9"
2023-04-01,Fraude,Segunda via cartão,233,63,55,2,R$ 1.863,R$ 570,"57,4"
2023-02-01,Fraude,Resultado análise de fraude,547,48,10,10,R$ 11.112,R$ 778,"37,7"
2023-01-01,Tecnologia,Gerar fatura,28,6,1,1,R$ 4.628,R$ 1.317,"63,9"
2023-04-01,Cartão,Fatura duplicada,174,126,64,10,R$ 12.632,R$ 8.853,"39,8"
2023-06-01,Marketplace,Gestão do Bolso/Rendimento Conta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Gestão de Recarga,49,15,10,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Dúvidas sobre pagamento de fatura,45,4,1,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Token SMS,264,37,4,3,R$ 2.624,R$ 1.177,"36,8"
2023-02-01,Conta,Consulta Saldo,57,17,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Não reconhecimento de compra no crédito,20,4,3,1,R$ 300,R$ 2.466,"36,8"
2023-03-01,Crédito Pessoal,Dúvidas sobre pagamento de fatura,16,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Contactless,9,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Informações sobre fatura,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Reenvio de cartão,12,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Reclamação pagamento cashback,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Envio de PIX,9,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketing,Novos Produtos,10,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Problema de Cadastro da proposta,12,2,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Problema no recebimento do cartão,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Reenvio de cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Não reconhecimento de recarga/título/ted,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Cartão,Alteração de Cadastro na Proposta,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Envio de TED,2,1,1,1,R$ 753,R$ 67,"36,8"
2023-02-01,Conta,Informações sobre cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Reenvio de cartão,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Fechamento Fatura,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Dúvidas Conta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Uso do cartão de débito,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Primeiro Desbloqueio de cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Gestão do Bolso/Rendimento Conta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Gerar fatura,1217,337,37,30,R$ 22.689,R$ 27.114,"34,6"
2023-04-01,Cartão,Cartão virtual,935,1609,1487,8,R$ 9.155,R$ 1.681,"36,8"
2023-04-01,Cartão,Informações sobre fatura,5379,2475,1531,141,R$ 294.291,R$ 1.025.473,"39,9"
2023-02-01,Atendimento,Chat sem retorno,2000,592,76,69,R$ 116.172,R$ 319.633,"47,1"
2023-03-01,Cartão,Faturas futuras,934,205,31,28,R$ 37.161,R$ 200.525,"31,2"
2023-04-01,Cartão,Reenvio de cartão,2195,4652,4537,15,R$ 22.397,R$ 6.823,"31,2"
2023-06-01,Cartão,Dúvidas sobre campanha gamificação,1789,277,22,22,R$ 5.800,R$ 3.132,"31,2"
2023-03-01,Cartão,Desbloqueio de cartão,815,181,34,24,R$ 32.416,R$ 52.488,"36,8"
2023-03-01,Conta,Gestão de Saque,498,89,9,9,R$ 7.623,R$ 1.737,"36,8"
2023-05-01,Conta,Fechamento Fatura,28,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Cartão black,29,6,1,1,R$ 3.347,R$ 236,"47,1"
2023-02-01,Marketplace,Vencimento fatura,18,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Não reconhecimento de compra no crédito,114,13,6,1,R$ 550,R$ 1.529,"31,2"
2023-04-01,Marketplace,Não entendimento fatura,21,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Recebimento de PIX,11,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Dúvidas sobre pagamento de fatura,46,7,5,0,R$ 0,R$ 0,"0,0"
2023-01-01,Fraude,Reenvio de cartão,11,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Não entendimento fatura,22,3,1,1,R$ 600,R$ 31,"31,2"
2023-01-01,Conta,Recebimento de TED,42,9,2,2,R$ 504,-R$ 3,"35,5"
2023-01-01,Fraude,Boleto de Depósito,4,2,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Envio de PIX,13,2,1,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Cancelamento de cartão de débito,3,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Não entendimento fatura,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Gestão do Bolso/Rendimento Conta,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Gestão de Extrato,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Assunto não identificado,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Fatura duplicada,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Primeiro Desbloqueio de cartão,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Wallet,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Devolução,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Fraude,Não reconhecimento de PIX,4,2,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Resultado da Proposta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Cupom,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Dúvidas PIX,1101,792,549,32,R$ 31.055,R$ 67.325,"36,8"
2023-01-01,Cartão,Token E-mail,2742,531,77,68,R$ 96.084,R$ 302.597,"39,9"
2023-04-01,Conta,Pagamento de Boleto,2404,1756,1335,46,R$ 52.812,R$ 261.012,"32,3"
2023-05-01,Cartão,Token E-mail,2146,218,26,24,R$ 32.220,R$ 13.347,"39,9"
2023-02-01,Cartão,Fechamento Fatura,2511,233,23,18,R$ 20.468,R$ 41.484,"33,5"
2023-01-01,Fraude,Resultado análise de fraude,576,51,9,9,R$ 8.745,R$ 11.718,"33,4"
2023-03-01,Crédito Pessoal,Gestão do Bolso/Rendimento Conta,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Não reconhecimento de compra no crédito,19,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Reenvio de cartão,15,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Tecnologia,Recebimento de PIX,20,2,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Wallet,233,33,2,2,R$ 4.029,R$ 669,"37,9"
2023-03-01,Fraude,Rastreio de cartão,20,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Consulta Saldo,42,13,10,1,R$ 2.379,-R$ 114,"47,1"
2023-06-01,Tecnologia,Problema no recebimento do cartão,17,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Validação novo dispositivo,20,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Recebimento de TED,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Wallet,1,1,1,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Falsidade ideológica,7,0,0,0,R$ 0,R$ 0,"0,0"
