dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-06-01,Riscos 2 nivel,Token E-mail,4,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Lançamentos duplicados,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Tecnologia,Gerar fatura,19,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Faturas futuras,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Chaves PIX,5,5,5,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Problema no recebimento do cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Faturas futuras,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Recebimento de TED,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Compra internacional,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Cartão,Cancelamento de conta,6904,10674,10082,623,R$ 426.426,R$ 502.793,"33,4"
2023-01-01,Cartão,Alteração de Cadastro,6288,1772,302,251,R$ 278.640,R$ 874.484,"36,8"
2023-05-01,Marketing,Dúvidas campanha,923,215,18,16,R$ 18.117,R$ 10.656,"36,8"
2023-01-01,Tecnologia,Segunda via cartão,122,5,1,0,R$ 0,R$ 0,"0,0"
2023-06-01,Cartão,Problema no recebimento do cartão,2884,321,28,28,R$ 22.788,R$ 15.748,"33,4"
2023-01-01,Cartão,Chat sem retorno,370,40,7,7,R$ 11.979,R$ 46.209,"47,1"
2023-05-01,Conta,Uso do cartão de débito,479,108,10,9,R$ 6.511,R$ 14.077,"39,8"
2023-03-01,Cartão,Member Get Member (MGM),153,29,1,1,R$ 500,R$ 642,"31,2"
2023-05-01,Atendimento,Chat sem retorno,252,62,12,10,R$ 11.431,R$ 2.477,"38,4"
2023-03-01,Tecnologia,Gestão de Recarga,28,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Dúvidas sobre cartão,472,87,9,7,R$ 9.283,-R$ 51,"39,8"
2023-03-01,Conta,Vencimento fatura,154,6,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Chaves PIX,501,104,14,12,R$ 8.687,R$ 13.521,"36,8"
2023-06-01,Cartão,Problema de Cadastro da proposta,13,3,3,2,R$ 460,R$ 1.009,"31,2"
2023-05-01,Tecnologia,Rastreio de cartão,71,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Resultado da Proposta,32,1,1,1,R$ 1.368,R$ 422,"36,8"
2023-02-01,Cartão,Lançamentos duplicados,242,77,7,6,R$ 6.888,R$ 6.696,"37,7"
